Serial No.		Street Name				Closure type
701			10300 s. doty			No Street full closure
702			10300 s. doty			No Street full closure
703			10300 s. doty			No Street full closure
704			10300 s. doty			No Street full closure
705			10300 s. doty			No Street full closure
706			10300 s. doty			No Street full closure
707			10300 s. doty			No Street full closure
708			10300 s. doty			No Street full closure
709			701 n. sacramento			No Street full closure
710			701 n. sacramento			No Street full closure
711			10300 s. doty			No Street full closure
712			10300 s. doty			No Street full closure
713			701 n. sacramento			No Street full closure
714			701 n. sacramento			No Street full closure
715			10300 s. doty			No Street full closure
716			10300 s. doty			No Street full closure
717			10300 s. doty			No Street full closure
718			701 n. sacramento			No Street full closure
719			701 n. sacramento			No Street full closure
720			10300 s. doty			No Street full closure
721			701 n. sacramento			No Street full closure
722			10300 s. doty			No Street full closure
723			10300 s. doty			No Street full closure
724			10300 s. doty			No Street full closure
725			10300 s. doty			No Street full closure
726			10300 s. doty			No Street full closure
727			701 n. sacramento			No Street full closure
728			10300 s. doty			No Street full closure
729			701 n. sacramento			No Street full closure
730			10300 s. doty			No Street full closure
731			10300 s. doty			No Street full closure
732			701 n. sacramento			No Street full closure
733			10300 s. doty			No Street full closure
734			10300 s. doty			No Street full closure
735			701 n. sacramento			No Street full closure
736			10300 s. doty			No Street full closure
737			701 n. sacramento			No Street full closure
738			701 n. sacramento			No Street full closure
739			10300 s. doty			No Street full closure
740			10300 s. doty			No Street full closure
741			10300 s. doty			No Street full closure
742			10300 s. doty			No Street full closure
743			10300 s. doty			No Street full closure
744			10300 s. doty			No Street full closure
745			10300 s. doty			No Street full closure
746			10300 s. doty			No Street full closure
747			10300 s. doty			No Street full closure
748			10300 s. doty			No Street full closure
749			10300 s. doty			No Street full closure
750			701 n. sacramento			No Street full closure
751			10300 s. doty			No Street full closure
752			10300 s. doty			No Street full closure
753			10300 s. doty			No Street full closure
754			10300 s. doty			No Street full closure
755			701 n. sacramento			No Street full closure
756			10300 s. doty			No Street full closure
757			10300 s. doty			No Street full closure
758			701 n. sacramento			No Street full closure
759			10300 s. doty			No Street full closure
760			701 n. sacramento			No Street full closure
761			10300 s. doty			No Street full closure
762			701 n. sacramento			No Street full closure
763			10300 s. doty			No Street full closure
764			10300 s. doty			No Street full closure
765			10300 s. doty			No Street full closure
766			10300 s. doty			No Street full closure
767			10300 s. doty			No Street full closure
768			10300 s. doty			No Street full closure
769			10300 s. doty			No Street full closure
770			10300 s. doty			No Street full closure
771			701 n. sacramento			No Street full closure
772			701 n. sacramento			No Street full closure
773			10300 s. doty			No Street full closure
774			701 n. sacramento			No Street full closure
775			10300 s. doty			No Street full closure
776			10300 s. doty			No Street full closure
777			701 n. sacramento			No Street full closure
778			10300 s. doty			No Street full closure
779			10300 s. doty			No Street full closure
780			10300 s. doty			No Street full closure
781			10300 s. doty			No Street full closure
782			10300 s. doty			No Street full closure
783			10300 s. doty			No Street full closure
784			10300 s. doty			No Street full closure
785			701 n. sacramento			No Street full closure
786			10300 s. doty			No Street full closure
787			10300 s. doty			No Street full closure
788			701 n. sacramento			No Street full closure
789			701 n. sacramento			No Street full closure
790			10300 s. doty			No Street full closure
