Serial No.		Street Name				Closure type
3565			701 n. sacramento			No Street full closure
3566			400 e. lower wacker			No Street full closure
3567			701 n. sacramento			No Street full closure
3568			400 e. lower wacker			No Street full closure
3569			10300 s. doty			No Street full closure
3570			400 e. lower wacker			No Street full closure
3571			10300 s. doty			No Street full closure
3572			10300 s. doty			No Street full closure
3573			701 n. sacramento			No Street full closure
3574			10300 s. doty			No Street full closure
3575			701 n. sacramento			No Street full closure
3576			701 n. sacramento			No Street full closure
3577			10300 s. doty			No Street full closure
3578			701 n. sacramento			No Street full closure
3579			701 n. sacramento			No Street full closure
3580			701 n. sacramento			No Street full closure
3581			701 n. sacramento			No Street full closure
3582			10300 s. doty			No Street full closure
3583			10300 s. doty			No Street full closure
3584			10300 s. doty			No Street full closure
3585			10300 s. doty			No Street full closure
3586			701 n. sacramento			No Street full closure
3587			701 n. sacramento			No Street full closure
3588			701 n. sacramento			No Street full closure
3589			10300 s. doty			No Street full closure
3590			10300 s. doty			No Street full closure
3591			701 n. sacramento			No Street full closure
3592			701 n. sacramento			No Street full closure
3593			400 e. lower wacker			No Street full closure
3594			10300 s. doty			No Street full closure
3595			701 n. sacramento			No Street full closure
3596			10300 s. doty			No Street full closure
3597			701 n. sacramento			No Street full closure
3598			701 n. sacramento			No Street full closure
3599			10300 s. doty			No Street full closure
3600			10300 s. doty			No Street full closure
3601			10300 s. doty			No Street full closure
3602			701 n. sacramento			No Street full closure
3603			10300 s. doty			No Street full closure
3604			10300 s. doty			No Street full closure
3605			701 n. sacramento			No Street full closure
3606			10300 s. doty			No Street full closure
3607			10300 s. doty			No Street full closure
3608			701 n. sacramento			No Street full closure
3609			10300 s. doty			No Street full closure
3610			10300 s. doty			No Street full closure
3611			10300 s. doty			No Street full closure
3612			10300 s. doty			No Street full closure
3613			10300 s. doty			No Street full closure
3614			10300 s. doty			No Street full closure
3615			10300 s. doty			No Street full closure
3616			10300 s. doty			No Street full closure
3617			701 n. sacramento			No Street full closure
3618			10300 s. doty			No Street full closure
3619			10300 s. doty			No Street full closure
3620			10300 s. doty			No Street full closure
3621			10300 s. doty			No Street full closure
3622			701 n. sacramento			No Street full closure
3623			701 n. sacramento			No Street full closure
3624			701 n. sacramento			No Street full closure
3625			701 n. sacramento			No Street full closure
3626			701 n. sacramento			No Street full closure
3627			701 n. sacramento			No Street full closure
3628			701 n. sacramento			No Street full closure
3629			10300 s. doty			No Street full closure
3630			10300 s. doty			No Street full closure
3631			10300 s. doty			No Street full closure
3632			701 n. sacramento			No Street full closure
3633			701 n. sacramento			No Street full closure
3634			701 n. sacramento			No Street full closure
3635			701 n. sacramento			No Street full closure
3636			701 n. sacramento			No Street full closure
3637			10300 s. doty			No Street full closure
3638			10300 s. doty			No Street full closure
3639			701 n. sacramento			No Street full closure
3640			10300 s. doty			No Street full closure
3641			701 n. sacramento			No Street full closure
3642			701 n. sacramento			No Street full closure
3643			10300 s. doty			No Street full closure
3644			701 n. sacramento			No Street full closure
3645			10300 s. doty			No Street full closure
3646			701 n. sacramento			No Street full closure
3647			10300 s. doty			No Street full closure
3648			10300 s. doty			No Street full closure
3649			10300 s. doty			No Street full closure
3650			701 n. sacramento			No Street full closure
3651			10300 s. doty			No Street full closure
3652			10300 s. doty			No Street full closure
3653			10300 s. doty			No Street full closure
3654			10300 s. doty			No Street full closure
3655			701 n. sacramento			No Street full closure
3656			10300 s. doty			No Street full closure
3657			10300 s. doty			No Street full closure
3658			10300 s. doty			No Street full closure
3659			701 n. sacramento			No Street full closure
3660			10300 s. doty			No Street full closure
3661			701 n. sacramento			No Street full closure
3662			10300 s. doty			No Street full closure
3663			10300 s. doty			No Street full closure
3664			701 n. sacramento			No Street full closure
3665			10300 s. doty			No Street full closure
3666			701 n. sacramento			No Street full closure
3667			701 n. sacramento			No Street full closure
3668			701 n. sacramento			No Street full closure
3669			10300 s. doty			No Street full closure
3670			10300 s. doty			No Street full closure
3671			701 n. sacramento			No Street full closure
3672			10300 s. doty			No Street full closure
3673			10300 s. doty			No Street full closure
3674			10300 s. doty			No Street full closure
3675			10300 s. doty			No Street full closure
3676			701 n. sacramento			No Street full closure
3677			10300 s. doty			No Street full closure
3678			10300 s. doty			No Street full closure
3679			10300 s. doty			No Street full closure
3680			10300 s. doty			No Street full closure
3681			10300 s. doty			No Street full closure
3682			10300 s. doty			No Street full closure
3683			10300 s. doty			No Street full closure
3684			701 n. sacramento			No Street full closure
3685			10300 s. doty			No Street full closure
3686			10300 s. doty			No Street full closure
3687			10300 s. doty			No Street full closure
3688			701 n. sacramento			No Street full closure
3689			701 n. sacramento			No Street full closure
3690			10300 s. doty			No Street full closure
3691			10300 s. doty			No Street full closure
3692			701 n. sacramento			No Street full closure
3693			10300 s. doty			No Street full closure
3694			10300 s. doty			No Street full closure
3695			701 n. sacramento			No Street full closure
3696			701 n. sacramento			No Street full closure
3697			701 n. sacramento			No Street full closure
3698			10300 s. doty			No Street full closure
3699			10300 s. doty			No Street full closure
3700			701 n. sacramento			No Street full closure
3701			701 n. sacramento			No Street full closure
3702			10300 s. doty			No Street full closure
3703			10300 s. doty			No Street full closure
3704			701 n. sacramento			No Street full closure
3705			701 n. sacramento			No Street full closure
3706			701 n. sacramento			No Street full closure
3707			10300 s. doty			No Street full closure
3708			10300 s. doty			No Street full closure
3709			10300 s. doty			No Street full closure
3710			10300 s. doty			No Street full closure
3711			10300 s. doty			No Street full closure
3712			10300 s. doty			No Street full closure
3713			701 n. sacramento			No Street full closure
3714			10300 s. doty			No Street full closure
3715			701 n. sacramento			No Street full closure
3716			701 n. sacramento			No Street full closure
3717			10300 s. doty			No Street full closure
3718			10300 s. doty			No Street full closure
3719			10300 s. doty			No Street full closure
3720			10300 s. doty			No Street full closure
3721			10300 s. doty			No Street full closure
3722			701 n. sacramento			No Street full closure
3723			701 n. sacramento			No Street full closure
3724			10300 s. doty			No Street full closure
3725			10300 s. doty			No Street full closure
3726			10300 s. doty			No Street full closure
3727			701 n. sacramento			No Street full closure
3728			701 n. sacramento			No Street full closure
3729			10300 s. doty			No Street full closure
3730			10300 s. doty			No Street full closure
3731			10300 s. doty			No Street full closure
3732			10300 s. doty			No Street full closure
3733			10300 s. doty			No Street full closure
3734			701 n. sacramento			No Street full closure
3735			701 n. sacramento			No Street full closure
3736			701 n. sacramento			No Street full closure
3737			10300 s. doty			No Street full closure
3738			701 n. sacramento			No Street full closure
3739			701 n. sacramento			No Street full closure
3740			10300 s. doty			No Street full closure
3741			701 n. sacramento			No Street full closure
3742			701 n. sacramento			No Street full closure
3743			701 n. sacramento			No Street full closure
3744			10300 s. doty			No Street full closure
3745			701 n. sacramento			No Street full closure
3746			701 n. sacramento			No Street full closure
3747			10300 s. doty			No Street full closure
3748			10300 s. doty			No Street full closure
3749			10300 s. doty			No Street full closure
3750			10300 s. doty			No Street full closure
3751			10300 s. doty			No Street full closure
3752			10300 s. doty			No Street full closure
3753			701 n. sacramento			No Street full closure
3754			10300 s. doty			No Street full closure
3755			701 n. sacramento			No Street full closure
3756			701 n. sacramento			No Street full closure
3757			10300 s. doty			No Street full closure
3758			10300 s. doty			No Street full closure
3759			10300 s. doty			No Street full closure
3760			10300 s. doty			No Street full closure
3761			701 n. sacramento			No Street full closure
3762			701 n. sacramento			No Street full closure
3763			10300 s. doty			No Street full closure
3764			701 n. sacramento			No Street full closure
3765			10300 s. doty			No Street full closure
3766			10300 s. doty			No Street full closure
3767			10300 s. doty			No Street full closure
3768			10300 s. doty			No Street full closure
3769			10300 s. doty			No Street full closure
3770			10300 s. doty			No Street full closure
3771			10300 s. doty			No Street full closure
3772			701 n. sacramento			No Street full closure
3773			701 n. sacramento			No Street full closure
3774			10300 s. doty			No Street full closure
3775			10300 s. doty			No Street full closure
3776			10300 s. doty			No Street full closure
3777			10300 s. doty			No Street full closure
3778			10300 s. doty			No Street full closure
3779			10300 s. doty			No Street full closure
3780			10300 s. doty			No Street full closure
3781			10300 s. doty			No Street full closure
3782			701 n. sacramento			No Street full closure
3783			10300 s. doty			No Street full closure
3784			10300 s. doty			No Street full closure
3785			10300 s. doty			No Street full closure
3786			701 n. sacramento			No Street full closure
3787			10300 s. doty			No Street full closure
3788			10300 s. doty			No Street full closure
3789			701 n. sacramento			No Street full closure
3790			10300 s. doty			No Street full closure
3791			701 n. sacramento			No Street full closure
3792			10300 s. doty			No Street full closure
3793			10300 s. doty			No Street full closure
3794			701 n. sacramento			No Street full closure
3795			701 n. sacramento			No Street full closure
3796			10300 s. doty			No Street full closure
3797			701 n. sacramento			No Street full closure
3798			10300 s. doty			No Street full closure
3799			10300 s. doty			No Street full closure
3800			10300 s. doty			No Street full closure
3801			10300 s. doty			No Street full closure
3802			701 n. sacramento			No Street full closure
3803			10300 s. doty			No Street full closure
3804			10300 s. doty			No Street full closure
3805			701 n. sacramento			No Street full closure
3806			701 n. sacramento			No Street full closure
3807			10300 s. doty			No Street full closure
3808			10300 s. doty			No Street full closure
3809			10300 s. doty			No Street full closure
3810			10300 s. doty			No Street full closure
3811			10300 s. doty			No Street full closure
3812			10300 s. doty			No Street full closure
3813			10300 s. doty			No Street full closure
3814			701 n. sacramento			No Street full closure
3815			10300 s. doty			No Street full closure
3816			10300 s. doty			No Street full closure
3817			10300 s. doty			No Street full closure
3818			10300 s. doty			No Street full closure
3819			10300 s. doty			No Street full closure
3820			10300 s. doty			No Street full closure
3821			10300 s. doty			No Street full closure
3822			10300 s. doty			No Street full closure
3823			10300 s. doty			No Street full closure
3824			10300 s. doty			No Street full closure
3825			10300 s. doty			No Street full closure
3826			10300 s. doty			No Street full closure
3827			701 n. sacramento			No Street full closure
3828			10300 s. doty			No Street full closure
3829			10300 s. doty			No Street full closure
3830			10300 s. doty			No Street full closure
3831			10300 s. doty			No Street full closure
3832			10300 s. doty			No Street full closure
3833			10300 s. doty			No Street full closure
3834			10300 s. doty			No Street full closure
3835			701 n. sacramento			No Street full closure
3836			10300 s. doty			No Street full closure
3837			10300 s. doty			No Street full closure
3838			10300 s. doty			No Street full closure
3839			10300 s. doty			No Street full closure
3840			10300 s. doty			No Street full closure
3841			10300 s. doty			No Street full closure
3842			701 n. sacramento			No Street full closure
3843			10300 s. doty			No Street full closure
3844			10300 s. doty			No Street full closure
3845			701 n. sacramento			No Street full closure
3846			701 n. sacramento			No Street full closure
3847			10300 s. doty			No Street full closure
3848			701 n. sacramento			No Street full closure
3849			10300 s. doty			No Street full closure
3850			701 n. sacramento			No Street full closure
3851			701 n. sacramento			No Street full closure
3852			10300 s. doty			No Street full closure
3853			10300 s. doty			No Street full closure
3854			701 n. sacramento			No Street full closure
3855			701 n. sacramento			No Street full closure
3856			10300 s. doty			No Street full closure
3857			10300 s. doty			No Street full closure
3858			701 n. sacramento			No Street full closure
3859			701 n. sacramento			No Street full closure
3860			701 n. sacramento			No Street full closure
3861			10300 s. doty			No Street full closure
3862			701 n. sacramento			No Street full closure
3863			701 n. sacramento			No Street full closure
3864			701 n. sacramento			No Street full closure
3865			10300 s. doty			No Street full closure
3866			10300 s. doty			No Street full closure
3867			10300 s. doty			No Street full closure
3868			10300 s. doty			No Street full closure
3869			10300 s. doty			No Street full closure
3870			10300 s. doty			No Street full closure
3871			701 n. sacramento			No Street full closure
3872			10300 s. doty			No Street full closure
3873			10300 s. doty			No Street full closure
3874			10300 s. doty			No Street full closure
3875			701 n. sacramento			No Street full closure
3876			10300 s. doty			No Street full closure
3877			10300 s. doty			No Street full closure
3878			10300 s. doty			No Street full closure
3879			701 n. sacramento			No Street full closure
3880			701 n. sacramento			No Street full closure
3881			10300 s. doty			No Street full closure
3882			10300 s. doty			No Street full closure
3883			10300 s. doty			No Street full closure
3884			701 n. sacramento			No Street full closure
3885			10300 s. doty			No Street full closure
3886			10300 s. doty			No Street full closure
3887			10300 s. doty			No Street full closure
3888			701 n. sacramento			No Street full closure
3889			10300 s. doty			No Street full closure
3890			701 n. sacramento			No Street full closure
3891			10300 s. doty			No Street full closure
3892			10300 s. doty			No Street full closure
3893			10300 s. doty			No Street full closure
3894			701 n. sacramento			No Street full closure
3895			701 n. sacramento			No Street full closure
3896			chicago o'hare international airport remote lot e.			No Street full closure
3897			701 n. sacramento			No Street full closure
3898			701 n. sacramento			No Street full closure
3899			10300 s. doty			No Street full closure
3900			10300 s. doty			No Street full closure
3901			10300 s. doty			No Street full closure
3902			701 n. sacramento			No Street full closure
3903			701 n. sacramento			No Street full closure
3904			10300 s. doty			No Street full closure
3905			701 n. sacramento			No Street full closure
3906			10300 s. doty			No Street full closure
3907			10300 s. doty			No Street full closure
3908			10300 s. doty			No Street full closure
3909			10300 s. doty			No Street full closure
3910			701 n. sacramento			No Street full closure
3911			701 n. sacramento			No Street full closure
3912			701 n. sacramento			No Street full closure
3913			10300 s. doty			No Street full closure
3914			10300 s. doty			No Street full closure
3915			10300 s. doty			No Street full closure
3916			10300 s. doty			No Street full closure
3917			701 n. sacramento			No Street full closure
3918			701 n. sacramento			No Street full closure
3919			10300 s. doty			No Street full closure
3920			10300 s. doty			No Street full closure
3921			701 n. sacramento			No Street full closure
3922			10300 s. doty			No Street full closure
3923			10300 s. doty			No Street full closure
3924			701 n. sacramento			No Street full closure
3925			701 n. sacramento			No Street full closure
3926			10300 s. doty			No Street full closure
3927			701 n. sacramento			No Street full closure
3928			10300 s. doty			No Street full closure
3929			10300 s. doty			No Street full closure
3930			701 n. sacramento			No Street full closure
3931			701 n. sacramento			No Street full closure
3932			10300 s. doty			No Street full closure
3933			701 n. sacramento			No Street full closure
3934			10300 s. doty			No Street full closure
3935			10300 s. doty			No Street full closure
3936			10300 s. doty			No Street full closure
3937			10300 s. doty			No Street full closure
3938			701 n. sacramento			No Street full closure
3939			10300 s. doty			No Street full closure
3940			701 n. sacramento			No Street full closure
3941			10300 s. doty			No Street full closure
3942			701 n. sacramento			No Street full closure
3943			10300 s. doty			No Street full closure
3944			10300 s. doty			No Street full closure
3945			701 n. sacramento			No Street full closure
3946			10300 s. doty			No Street full closure
3947			10300 s. doty			No Street full closure
3948			10300 s. doty			No Street full closure
3949			701 n. sacramento			No Street full closure
3950			10300 s. doty			No Street full closure
3951			701 n. sacramento			No Street full closure
3952			701 n. sacramento			No Street full closure
3953			701 n. sacramento			No Street full closure
3954			701 n. sacramento			No Street full closure
3955			701 n. sacramento			No Street full closure
3956			10300 s. doty			No Street full closure
3957			701 n. sacramento			No Street full closure
3958			10300 s. doty			No Street full closure
3959			10300 s. doty			No Street full closure
3960			701 n. sacramento			No Street full closure
3961			701 n. sacramento			No Street full closure
3962			10300 s. doty			No Street full closure
3963			701 n. sacramento			No Street full closure
3964			701 n. sacramento			No Street full closure
3965			701 n. sacramento			No Street full closure
3966			10300 s. doty			No Street full closure
3967			701 n. sacramento			No Street full closure
3968			10300 s. doty			No Street full closure
3969			701 n. sacramento			No Street full closure
3970			701 n. sacramento			No Street full closure
3971			10300 s. doty			No Street full closure
3972			10300 s. doty			No Street full closure
3973			701 n. sacramento			No Street full closure
3974			10300 s. doty			No Street full closure
3975			10300 s. doty			No Street full closure
3976			10300 s. doty			No Street full closure
3977			10300 s. doty			No Street full closure
3978			701 n. sacramento			No Street full closure
3979			701 n. sacramento			No Street full closure
3980			701 n. sacramento			No Street full closure
3981			10300 s. doty			No Street full closure
3982			701 n. sacramento			No Street full closure
3983			701 n. sacramento			No Street full closure
3984			10300 s. doty			No Street full closure
3985			701 n. sacramento			No Street full closure
3986			10300 s. doty			No Street full closure
3987			701 n. sacramento			No Street full closure
3988			701 n. sacramento			No Street full closure
3989			10300 s. doty			No Street full closure
3990			10300 s. doty			No Street full closure
3991			701 n. sacramento			No Street full closure
3992			10300 s. doty			No Street full closure
3993			10300 s. doty			No Street full closure
3994			701 n. sacramento			No Street full closure
3995			10300 s. doty			No Street full closure
3996			10300 s. doty			No Street full closure
3997			701 n. sacramento			No Street full closure
3998			701 n. sacramento			No Street full closure
3999			701 n. sacramento			No Street full closure
4000			10300 s. doty			No Street full closure
4001			701 n. sacramento			No Street full closure
4002			10300 s. doty			No Street full closure
4003			10300 s. doty			No Street full closure
4004			701 n. sacramento			No Street full closure
4005			701 n. sacramento			No Street full closure
4006			701 n. sacramento			No Street full closure
4007			701 n. sacramento			No Street full closure
4008			10300 s. doty			No Street full closure
4009			701 n. sacramento			No Street full closure
4010			10300 s. doty			No Street full closure
4011			701 n. sacramento			No Street full closure
4012			701 n. sacramento			No Street full closure
4013			701 n. sacramento			No Street full closure
4014			10300 s. doty			No Street full closure
4015			701 n. sacramento			No Street full closure
4016			701 n. sacramento			No Street full closure
4017			701 n. sacramento			No Street full closure
4018			701 n. sacramento			No Street full closure
4019			10300 s. doty			No Street full closure
4020			701 n. sacramento			No Street full closure
4021			701 n. sacramento			No Street full closure
4022			10300 s. doty			No Street full closure
4023			10300 s. doty			No Street full closure
4024			701 n. sacramento			No Street full closure
4025			10300 s. doty			No Street full closure
4026			10300 s. doty			No Street full closure
4027			10300 s. doty			No Street full closure
4028			10300 s. doty			No Street full closure
4029			701 n. sacramento			No Street full closure
4030			701 n. sacramento			No Street full closure
4031			701 n. sacramento			No Street full closure
4032			701 n. sacramento			No Street full closure
4033			701 n. sacramento			No Street full closure
4034			701 n. sacramento			No Street full closure
4035			10300 s. doty			No Street full closure
4036			701 n. sacramento			No Street full closure
4037			701 n. sacramento			No Street full closure
4038			701 n. sacramento			No Street full closure
4039			701 n. sacramento			No Street full closure
4040			10300 s. doty			No Street full closure
4041			10300 s. doty			No Street full closure
4042			701 n. sacramento			No Street full closure
4043			701 n. sacramento			No Street full closure
4044			701 n. sacramento			No Street full closure
4045			701 n. sacramento			No Street full closure
4046			10300 s. doty			No Street full closure
4047			701 n. sacramento			No Street full closure
4048			701 n. sacramento			No Street full closure
4049			701 n. sacramento			No Street full closure
4050			701 n. sacramento			No Street full closure
4051			701 n. sacramento			No Street full closure
4052			10300 s. doty			No Street full closure
4053			701 n. sacramento			No Street full closure
4054			701 n. sacramento			No Street full closure
4055			701 n. sacramento			No Street full closure
4056			701 n. sacramento			No Street full closure
4057			701 n. sacramento			No Street full closure
4058			10300 s. doty			No Street full closure
4059			10300 s. doty			No Street full closure
4060			10300 s. doty			No Street full closure
4061			701 n. sacramento			No Street full closure
4062			10300 s. doty			No Street full closure
4063			10300 s. doty			No Street full closure
4064			10300 s. doty			No Street full closure
4065			701 n. sacramento			No Street full closure
4066			10300 s. doty			No Street full closure
4067			701 n. sacramento			No Street full closure
4068			701 n. sacramento			No Street full closure
4069			10300 s. doty			No Street full closure
4070			701 n. sacramento			No Street full closure
4071			10300 s. doty			No Street full closure
4072			10300 s. doty			No Street full closure
4073			10300 s. doty			No Street full closure
4074			10300 s. doty			No Street full closure
4075			701 n. sacramento			No Street full closure
4076			701 n. sacramento			No Street full closure
4077			10300 s. doty			No Street full closure
4078			10300 s. doty			No Street full closure
4079			10300 s. doty			No Street full closure
4080			10300 s. doty			No Street full closure
4081			10300 s. doty			No Street full closure
4082			701 n. sacramento			No Street full closure
4083			10300 s. doty			No Street full closure
4084			701 n. sacramento			No Street full closure
4085			10300 s. doty			No Street full closure
4086			701 n. sacramento			No Street full closure
4087			701 n. sacramento			No Street full closure
4088			10300 s. doty			No Street full closure
4089			701 n. sacramento			No Street full closure
4090			701 n. sacramento			No Street full closure
4091			701 n. sacramento			No Street full closure
4092			10300 s. doty			No Street full closure
4093			701 n. sacramento			No Street full closure
4094			10300 s. doty			No Street full closure
4095			701 n. sacramento			No Street full closure
4096			701 n. sacramento			No Street full closure
4097			701 n. sacramento			No Street full closure
4098			10300 s. doty			No Street full closure
4099			701 n. sacramento			No Street full closure
4100			701 n. sacramento			No Street full closure
4101			701 n. sacramento			No Street full closure
4102			10300 s. doty			No Street full closure
4103			10300 s. doty			No Street full closure
4104			10300 s. doty			No Street full closure
4105			10300 s. doty			No Street full closure
4106			701 n. sacramento			No Street full closure
4107			10300 s. doty			No Street full closure
4108			701 n. sacramento			No Street full closure
4109			10300 s. doty			No Street full closure
4110			701 n. sacramento			No Street full closure
4111			701 n. sacramento			No Street full closure
4112			10300 s. doty			No Street full closure
4113			10300 s. doty			No Street full closure
4114			10300 s. doty			No Street full closure
4115			10300 s. doty			No Street full closure
4116			701 n. sacramento			No Street full closure
4117			10300 s. doty			No Street full closure
4118			10300 s. doty			No Street full closure
4119			10300 s. doty			No Street full closure
4120			10300 s. doty			No Street full closure
4121			10300 s. doty			No Street full closure
4122			10300 s. doty			No Street full closure
4123			10300 s. doty			No Street full closure
4124			701 n. sacramento			No Street full closure
4125			10300 s. doty			No Street full closure
4126			10300 s. doty			No Street full closure
4127			10300 s. doty			No Street full closure
4128			10300 s. doty			No Street full closure
4129			10300 s. doty			No Street full closure
4130			701 n. sacramento			No Street full closure
4131			701 n. sacramento			No Street full closure
4132			10300 s. doty			No Street full closure
4133			10300 s. doty			No Street full closure
4134			701 n. sacramento			No Street full closure
4135			10300 s. doty			No Street full closure
4136			10300 s. doty			No Street full closure
4137			701 n. sacramento			No Street full closure
4138			10300 s. doty			No Street full closure
4139			701 n. sacramento			No Street full closure
4140			701 n. sacramento			No Street full closure
4141			10300 s. doty			No Street full closure
4142			10300 s. doty			No Street full closure
4143			701 n. sacramento			No Street full closure
4144			701 n. sacramento			No Street full closure
4145			701 n. sacramento			No Street full closure
4146			10300 s. doty			No Street full closure
4147			10300 s. doty			No Street full closure
4148			10300 s. doty			No Street full closure
4149			701 n. sacramento			No Street full closure
4150			10300 s. doty			No Street full closure
4151			10300 s. doty			No Street full closure
4152			701 n. sacramento			No Street full closure
4153			10300 s. doty			No Street full closure
4154			10300 s. doty			No Street full closure
4155			701 n. sacramento			No Street full closure
4156			701 n. sacramento			No Street full closure
4157			10300 s. doty			No Street full closure
4158			10300 s. doty			No Street full closure
4159			701 n. sacramento			No Street full closure
4160			701 n. sacramento			No Street full closure
4161			10300 s. doty			No Street full closure
4162			701 n. sacramento			No Street full closure
4163			10300 s. doty			No Street full closure
4164			10300 s. doty			No Street full closure
4165			701 n. sacramento			No Street full closure
4166			701 n. sacramento			No Street full closure
4167			10300 s. doty			No Street full closure
4168			10300 s. doty			No Street full closure
4169			701 n. sacramento			No Street full closure
4170			10300 s. doty			No Street full closure
4171			701 n. sacramento			No Street full closure
4172			701 n. sacramento			No Street full closure
4173			10300 s. doty			No Street full closure
4174			10300 s. doty			No Street full closure
4175			701 n. sacramento			No Street full closure
4176			10300 s. doty			No Street full closure
4177			701 n. sacramento			No Street full closure
4178			701 n. sacramento			No Street full closure
4179			701 n. sacramento			No Street full closure
4180			701 n. sacramento			No Street full closure
4181			10300 s. doty			No Street full closure
4182			701 n. sacramento			No Street full closure
4183			701 n. sacramento			No Street full closure
4184			10300 s. doty			No Street full closure
4185			10300 s. doty			No Street full closure
4186			701 n. sacramento			No Street full closure
4187			701 n. sacramento			No Street full closure
4188			701 n. sacramento			No Street full closure
4189			10300 s. doty			No Street full closure
4190			10300 s. doty			No Street full closure
4191			701 n. sacramento			No Street full closure
4192			10300 s. doty			No Street full closure
4193			10300 s. doty			No Street full closure
4194			10300 s. doty			No Street full closure
4195			10300 s. doty			No Street full closure
4196			10300 s. doty			No Street full closure
4197			10300 s. doty			No Street full closure
4198			10300 s. doty			No Street full closure
4199			10300 s. doty			No Street full closure
4200			10300 s. doty			No Street full closure
4201			701 n. sacramento			No Street full closure
4202			10300 s. doty			No Street full closure
4203			701 n. sacramento			No Street full closure
4204			701 n. sacramento			No Street full closure
4205			10300 s. doty			No Street full closure
4206			701 n. sacramento			No Street full closure
4207			701 n. sacramento			No Street full closure
4208			10300 s. doty			No Street full closure
4209			701 n. sacramento			No Street full closure
4210			10300 s. doty			No Street full closure
4211			10300 s. doty			No Street full closure
4212			10300 s. doty			No Street full closure
4213			10300 s. doty			No Street full closure
4214			701 n. sacramento			No Street full closure
4215			701 n. sacramento			No Street full closure
4216			10300 s. doty			No Street full closure
4217			701 n. sacramento			No Street full closure
4218			10300 s. doty			No Street full closure
4219			701 n. sacramento			No Street full closure
4220			10300 s. doty			No Street full closure
4221			701 n. sacramento			No Street full closure
4222			10300 s. doty			No Street full closure
4223			701 n. sacramento			No Street full closure
4224			10300 s. doty			No Street full closure
4225			701 n. sacramento			No Street full closure
4226			701 n. sacramento			No Street full closure
4227			10300 s. doty			No Street full closure
4228			10300 s. doty			No Street full closure
4229			400 e. lower wacker			No Street full closure
4230			10300 s. doty			No Street full closure
4231			10300 s. doty			No Street full closure
4232			10300 s. doty			No Street full closure
4233			10300 s. doty			No Street full closure
4234			10300 s. doty			No Street full closure
4235			701 n. sacramento			No Street full closure
4236			701 n. sacramento			No Street full closure
4237			10300 s. doty			No Street full closure
4238			701 n. sacramento			No Street full closure
4239			701 n. sacramento			No Street full closure
4240			10300 s. doty			No Street full closure
4241			701 n. sacramento			No Street full closure
4242			701 n. sacramento			No Street full closure
4243			701 n. sacramento			No Street full closure
4244			701 n. sacramento			No Street full closure
4245			10300 s. doty			No Street full closure
4246			10300 s. doty			No Street full closure
4247			10300 s. doty			No Street full closure
4248			10300 s. doty			No Street full closure
4249			701 n. sacramento			No Street full closure
4250			701 n. sacramento			No Street full closure
4251			10300 s. doty			No Street full closure
4252			10300 s. doty			No Street full closure
4253			10300 s. doty			No Street full closure
4254			701 n. sacramento			No Street full closure
4255			701 n. sacramento			No Street full closure
4256			10300 s. doty			No Street full closure
4257			10300 s. doty			No Street full closure
4258			701 n. sacramento			No Street full closure
4259			10300 s. doty			No Street full closure
4260			10300 s. doty			No Street full closure
4261			10300 s. doty			No Street full closure
4262			10300 s. doty			No Street full closure
4263			10300 s. doty			No Street full closure
4264			10300 s. doty			No Street full closure
4265			10300 s. doty			No Street full closure
4266			10300 s. doty			No Street full closure
4267			10300 s. doty			No Street full closure
4268			10300 s. doty			No Street full closure
4269			10300 s. doty			No Street full closure
4270			10300 s. doty			No Street full closure
4271			10300 s. doty			No Street full closure
4272			701 n. sacramento			No Street full closure
4273			10300 s. doty			No Street full closure
4274			10300 s. doty			No Street full closure
4275			10300 s. doty			No Street full closure
4276			10300 s. doty			No Street full closure
4277			701 n. sacramento			No Street full closure
4278			10300 s. doty			No Street full closure
4279			701 n. sacramento			No Street full closure
4280			701 n. sacramento			No Street full closure
4281			701 n. sacramento			No Street full closure
4282			10300 s. doty			No Street full closure
4283			10300 s. doty			No Street full closure
4284			10300 s. doty			No Street full closure
4285			10300 s. doty			No Street full closure
4286			10300 s. doty			No Street full closure
4287			701 n. sacramento			No Street full closure
4288			10300 s. doty			No Street full closure
4289			10300 s. doty			No Street full closure
4290			10300 s. doty			No Street full closure
4291			701 n. sacramento			No Street full closure
4292			10300 s. doty			No Street full closure
4293			10300 s. doty			No Street full closure
4294			701 n. sacramento			No Street full closure
4295			10300 s. doty			No Street full closure
4296			10300 s. doty			No Street full closure
4297			701 n. sacramento			No Street full closure
4298			701 n. sacramento			No Street full closure
4299			701 n. sacramento			No Street full closure
4300			10300 s. doty			No Street full closure
4301			10300 s. doty			No Street full closure
4302			10300 s. doty			No Street full closure
4303			10300 s. doty			No Street full closure
4304			701 n. sacramento			No Street full closure
4305			10300 s. doty			No Street full closure
4306			10300 s. doty			No Street full closure
4307			701 n. sacramento			No Street full closure
4308			701 n. sacramento			No Street full closure
4309			10300 s. doty			No Street full closure
4310			701 n. sacramento			No Street full closure
4311			701 n. sacramento			No Street full closure
4312			10300 s. doty			No Street full closure
4313			10300 s. doty			No Street full closure
4314			10300 s. doty			No Street full closure
4315			10300 s. doty			No Street full closure
4316			10300 s. doty			No Street full closure
4317			10300 s. doty			No Street full closure
4318			701 n. sacramento			No Street full closure
4319			10300 s. doty			No Street full closure
4320			10300 s. doty			No Street full closure
4321			10300 s. doty			No Street full closure
4322			701 n. sacramento			No Street full closure
